query	page	country	clicks	impressions	ctr	position	start_date	end_date	domain
energy recruiting firms	https://www.energists.com/sector/power-utilities-recruiters/	US	1.0	1.0	1.0	7.0	2023-01-31	2023-01-03	energists.com
energy recruitment	https://www.energists.com/location/sydney-energy-recruiters/	AU	1.0	3.0	0.3333333333333333	8.0	2023-01-31	2023-01-03	energists.com
energy search recruiters	https://www.energists.com/sector/power-utilities-recruiters/	US	1.0	3.0	0.3333333333333333	5.333333333333333	2023-01-31	2023-01-03	energists.com
energy staffing companies	https://www.energists.com/location/houston-energy-recruiters/	US	1.0	5.0	0.2	23.2	2023-01-31	2023-01-03	energists.com
executive recruiters pittsburgh	https://www.energists.com/location/pittsburgh-energy-recruiters/	US	1.0	40.0	0.025	10.475	2023-01-31	2023-01-03	energists.com
executive recruiting	https://www.energists.com/location/pittsburgh-energy-recruiters/	US	1.0	1.0	1.0	12.0	2023-01-31	2023-01-03	energists.com
executive recruiting firms	https://www.energists.com/location/tulsa-energy-recruiters/	US	1.0	2.0	0.5	9.0	2023-01-31	2023-01-03	energists.com
executive search energy	https://www.energists.com/location/london-energy-recruiters/	GB	1.0	5.0	0.2	4.4	2023-01-31	2023-01-03	energists.com
executive search firms energy	https://www.energists.com/location/boston-energy-recruiters/	US	1.0	1.0	1.0	2.0	2023-01-31	2023-01-03	energists.com
executive search oil and gas	https://www.energists.com/location/aberdeen-energy-recruiters/	GB	1.0	1.0	1.0	2.0	2023-01-31	2023-01-03	energists.com
headhunter renewable energy	https://www.energists.com/location/new-york-energy-recruiters/	US	1.0	1.0	1.0	1.0	2023-01-31	2023-01-03	energists.com
headhunters tulsa	https://www.energists.com/location/tulsa-energy-recruiters/	US	1.0	17.0	0.058823529411764705	9.411764705882353	2023-01-31	2023-01-03	energists.com
houston oil and gas recruiters	https://www.energists.com/location/houston-energy-recruiters/	US	1.0	11.0	0.09090909090909091	13.0	2023-01-31	2023-01-03	energists.com
